Model,Scenario,Region,Variable,Unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Contracting_model,Extreme 1,Vienna,Demand|Car,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Demand|DHW,kW,0,0,0,0,0,5,5,5,5,5,2,2,2,2,2,2,2,2,5,5,5,5,0,0,0
Contracting_model,Extreme 1,Vienna,Demand|Electricity household,kW,0,0,0,0,0,5,5,5,5,5,4,4,6,6,6,4,4,5,5,5,5,5,3,3,0
Contracting_model,Extreme 1,Vienna,Demand|Heating,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contracting_model,Extreme 1,Vienna,Supply|Contractor|PV,kW,0.0,0.0,0.0,0.0,0.0,0.0,15.6145,40.8408,65.0884666666667,86.0776583333333,74.8498666666667,93.8054333333333,76.0326416666667,43.108175,30.9111,39.097025,34.085425,11.9461833333333,0.959933333333333,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply|Contractor|ST,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply|Contractor|HP,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply|Contractor|Insulation,kW,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Supply|Contractor|Battery Capacity,kW,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Supply|Contractor|Battery Powerflow,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply|Contractor|Charging Station,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,PV,Supply|Self financed|PV,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,ST,Supply|Self financed|ST,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,HP,Supply|Self financed|HP,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Insulation,Supply|Self financed|Insulation,kW,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Battery Capacity,Supply|Self financed|Battery Capacity,kW,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Battery Powerflow,Supply|Self financed|Battery Powerflow,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Charging Station,Supply|Self financed|Charging Station,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|PV,kW,166.666666666667,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|ST,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|HP,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|Insulation,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|Battery Capacity,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|Battery Powerflow,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Contractor|Charging Station,kW,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Self financed|PV,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Self financed|ST,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Self financed|HP,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Contracting_model,Extreme 1,Vienna,Capacity|Self financed|Insulation,kW,0.0,,,,,,,,,,,,,,,,,,,,,,,,
